"id","title","year","journal_name","conf_name"
"107872640","On the X-ray properties of sub-mm-selected galaxies","2010","Monthly Notices of the Royal Astronomical Society",
"237046433","The Radiative Efficiency of Accretion Flows in Individual Active Galactic Nuclei","2011","The Astrophysical Journal",
"120315840","The optical morphologies of the 2 Jy sample of radio galaxies : Evidence for galaxy interactions","2010","Monthly Notices of the Royal Astronomical Society",
"159308646","HERSCHEL SURVEY OF THE PALOMAR-GREEN QSOs AT LOW REDSHIFT","2015","Astrophysical Journal Supplement Series",
"423440477","Active galactic nuclei activity: self-regulation from backflow","2010","Monthly Notices of the Royal Astronomical Society",
"9208281","On the masses of OJ287 black holes","2012","Monthly Notices of the Royal Astronomical Society",
"444549029","The importance of galaxy interactions in triggering type II quasar activity","2012","Monthly Notices of the Royal Astronomical Society",
"69741493","Hierarchical merging, ultraluminous and hyperluminous X-ray sources","2004","Monthly Notices of the Royal Astronomical Society",
"171263861","Dark Matter: The Connection with Gamma-Ray Astrophysics","2007","Astrophysics and Space Science",
"158055059","Radial-orbit instability of a family of anisotropic Hernquist models with and without a supermassive black hole","2007","Monthly Notices of the Royal Astronomical Society",
"11224333","Nuclear Activity in Galaxies driven by Binary Supermassive Black Holes","2007","arXiv: Astrophysics",
"363056094","‘Disc–Jet’ Coupling in Black Hole X-Ray Binaries and Active Galactic Nuclei","2010","Lecture Notes in Physics",
"157828057","The MBH-σc Relation as a Constraint on the Formation of Elliptical Galaxies","2001","The Astrophysical Journal",
"274812914","Near-infrared imaging and spectroscopy of the nuclear region of the disturbed Virgo cluster spiral NGC 4438★","2009","Monthly Notices of the Royal Astronomical Society",
"45638879","The Growth of Massive Black Holes in Galaxy Merger Simulations with Feedback by Radiation Pressure","2010","Monthly Notices of the Royal Astronomical Society",
"474192036","Massive Perturber-driven Interactions between Stars and a Massive Black Hole","2007","The Astrophysical Journal",
"60536943","Black hole wind speeds and the M − σ relation","2013","Monthly Notices of the Royal Astronomical Society",
"243214694","Heating a Distant Galaxy Cluster by Giant X-ray Cavities and Large-Scale Shock Fronts","2004","arXiv: Astrophysics",
"431039619","Dynamical Formation and Evolution of Neutron Star and Black Hole Binaries in Globular Clusters","2009",,
"118501743","The host galaxy/AGN connection in nearby early-type galaxies ⋆ . Is there a miniature radio-galaxy in every ""core"" galaxy?","2006","Astronomy and Astrophysics",
"211653892","Dark matter haloes determine the masses of supermassive black holes","2010","Monthly Notices of the Royal Astronomical Society",
"146808580","Swift J1112.2-8238: a candidate relativistic tidal disruption flare","2015","Monthly Notices of the Royal Astronomical Society",
"89408436","Resolving flows around black holes: Numerical technique and applications","2015","Monthly Notices of the Royal Astronomical Society",
